epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5067,1.12563,3.31963,1.21448,0.00478,0.31292,0.08334,0.06859,1.18379,4.00301,1.10917,0.00017148,0.00017148,0.00017148
2,145.187,1.37383,2.75838,1.2069,0.00706,0.30517,0.09836,0.07488,1.48078,3.8769,1.25967,0.000350176,0.000350176,0.000350176
3,212.1,1.2734,2.25985,1.171,0.00534,0.32842,0.12726,0.07697,1.55088,3.97577,1.30352,0.000521516,0.000521516,0.000521516
4,305.666,1.28463,2.20345,1.27864,0.91319,0.04425,0.09988,0.0506,1.75967,3.85844,1.57312,0.0006855,0.0006855,0.0006855
5,397.532,1.33299,2.16051,1.37588,0.82813,0.07752,0.14203,0.04463,1.91032,3.95193,1.56529,0.000842127,0.000842127,0.000842127
6,485.684,1.42746,2.06172,1.28393,0.82264,0.06202,0.11078,0.04576,1.96175,3.9987,1.61342,0.000991397,0.000991397,0.000991397
7,573.965,1.41162,2.17798,1.33846,0.87623,0.06977,0.09955,0.04131,2.14375,3.78906,1.95803,0.00113331,0.00113331,0.00113331
8,671.067,1.39463,2.16035,1.31702,0.72886,0.06977,0.0579,0.02635,2.25335,4.13897,2.06731,0.00123094,0.00123094,0.00123094
9,778.961,1.42216,2.1347,1.33108,0.64996,0.07649,0.0538,0.02327,2.32925,4.21027,2.31613,0.00120265,0.00120265,0.00120265
10,862.453,1.51072,2.0048,1.31104,0.48346,0.06873,0.0685,0.0322,2.33348,4.00304,2.25408,0.00117435,0.00117435,0.00117435
11,943.73,1.266,1.81748,1.20818,0.51082,0.12196,0.09307,0.04486,2.22294,3.93907,2.04071,0.00114606,0.00114606,0.00114606
12,1039.21,1.3399,1.79604,1.23857,0.64916,0.123,0.09006,0.04695,2.1408,3.74675,1.88163,0.00111776,0.00111776,0.00111776
13,1124.72,1.36725,2.00072,1.3017,0.53838,0.10749,0.07179,0.03696,2.19265,3.96379,1.89381,0.00108947,0.00108947,0.00108947
14,1214.65,1.37203,2.12902,1.29515,0.81435,0.08527,0.07692,0.03272,2.20129,3.6651,1.91271,0.00106118,0.00106118,0.00106118
15,1297.4,1.32199,2.04827,1.30295,0.48929,0.07752,0.07443,0.03044,2.24514,3.8849,1.84001,0.00103288,0.00103288,0.00103288
16,1408.16,1.45267,2.07734,1.38242,0.4819,0.07752,0.0886,0.03446,2.12732,3.92967,1.77646,0.00100459,0.00100459,0.00100459
17,1538.47,1.30512,2.0085,1.32934,0.43613,0.15401,0.07578,0.02954,2.18756,3.57726,1.75578,0.000976293,0.000976293,0.000976293
18,1673.42,1.38114,1.85151,1.29269,0.43352,0.12403,0.06762,0.02967,2.0863,3.47082,1.7062,0.000947999,0.000947999,0.000947999
19,1819.32,1.2268,1.84837,1.2514,0.4112,0.13075,0.11197,0.04906,2.19398,3.47283,1.80164,0.000919704,0.000919704,0.000919704
20,1950.78,1.24615,1.81266,1.21535,0.52058,0.09846,0.07768,0.04237,2.19914,3.74067,1.80625,0.00089141,0.00089141,0.00089141
21,2066.27,1.24596,1.58259,1.21564,0.62707,0.09315,0.08955,0.04765,2.17585,3.69728,1.82434,0.000863116,0.000863116,0.000863116
22,2159.76,1.25004,1.65396,1.20008,0.39584,0.09974,0.04893,0.0234,2.28943,3.63416,1.78614,0.000834822,0.000834822,0.000834822
23,2246.71,1.24016,1.50919,1.18156,0.43496,0.09302,0.06369,0.02422,2.25101,3.70415,1.79404,0.000806528,0.000806528,0.000806528
24,2346.3,1.16999,1.53657,1.13847,0.45241,0.12589,0.07002,0.02691,2.21725,3.57567,1.79296,0.000778233,0.000778233,0.000778233
25,2444.89,1.12419,1.47704,1.20965,0.51161,0.11525,0.08982,0.0446,2.09947,3.57948,1.71806,0.000749939,0.000749939,0.000749939
26,2542.27,1.10424,1.52804,1.16891,0.5101,0.12196,0.11719,0.0591,2.14613,3.66533,1.7514,0.000721645,0.000721645,0.000721645
27,2646.75,1.15956,1.4836,1.17663,0.11277,0.17623,0.12668,0.06248,2.13284,3.1847,1.77395,0.000693351,0.000693351,0.000693351
28,2720.69,1.12264,1.33886,1.11265,0.41135,0.17054,0.15876,0.06359,2.14076,3.12669,1.71627,0.000665057,0.000665057,0.000665057
29,2792.98,1.06399,1.39995,1.15721,0.41112,0.15575,0.16099,0.07041,2.13248,3.16553,1.73412,0.000636762,0.000636762,0.000636762
30,2882.34,1.14223,1.38927,1.11738,0.40132,0.15504,0.18295,0.06416,2.15254,3.22826,1.7405,0.000608468,0.000608468,0.000608468
31,2978.51,1.10524,1.38548,1.12716,0.51656,0.19173,0.13286,0.05251,2.09593,3.0415,1.78371,0.000580174,0.000580174,0.000580174
32,3069.75,1.13217,1.28823,1.15317,0.54535,0.16848,0.12651,0.05095,2.13069,3.06441,1.84079,0.00055188,0.00055188,0.00055188
33,3167.38,1.0922,1.37146,1.14808,0.56115,0.14806,0.11632,0.04286,2.24644,3.19142,1.92021,0.000523586,0.000523586,0.000523586
34,3264.64,1.00606,1.31673,1.12579,0.52532,0.1385,0.115,0.04131,2.21262,3.20641,1.94897,0.000495291,0.000495291,0.000495291
35,3353.59,0.9997,1.249,1.07192,0.46551,0.10853,0.10765,0.03516,2.19729,3.37283,1.86666,0.000466997,0.000466997,0.000466997
36,3418.24,1.04496,1.22429,1.106,0.46532,0.13178,0.10939,0.03814,2.19803,3.28237,1.88139,0.000438703,0.000438703,0.000438703
37,3483.18,1.00418,1.35082,1.0946,0.45499,0.13953,0.10359,0.04064,2.21272,3.35382,1.81535,0.000410409,0.000410409,0.000410409
38,3566.4,0.96056,1.1659,1.07451,0.51792,0.123,0.09769,0.04282,2.24834,3.43947,1.79853,0.000382115,0.000382115,0.000382115
39,3658.22,0.96097,1.2777,1.08106,0.5587,0.13747,0.17934,0.05565,2.17844,3.48409,1.77039,0.00035382,0.00035382,0.00035382
40,3736.58,0.9424,1.29256,1.1349,0.4325,0.22855,0.18024,0.0661,2.1596,3.48579,1.7528,0.000325526,0.000325526,0.000325526
41,3797.6,0.87124,1.69974,1.03526,0.48571,0.19553,0.17105,0.07627,2.13438,3.54248,1.68919,0.000297232,0.000297232,0.000297232
42,3855.37,1.0294,1.59569,1.01571,0.46512,0.19644,0.16649,0.07717,2.12633,3.55255,1.66243,0.000268938,0.000268938,0.000268938
43,3914.27,0.89667,1.48386,1.03487,0.46833,0.18979,0.16615,0.07839,2.09306,3.46408,1.62551,0.000240644,0.000240644,0.000240644
44,3973.55,1.0196,1.88795,1.05402,0.40329,0.20936,0.20325,0.10206,2.04022,3.3088,1.62237,0.000212349,0.000212349,0.000212349
45,4032.29,0.85434,3.25265,0.98156,0.41815,0.22377,0.19706,0.09414,2.07033,3.27412,1.63333,0.000184055,0.000184055,0.000184055
46,4089.97,0.98643,1.41701,1.03364,0.50394,0.15297,0.21203,0.10212,1.95526,3.17919,1.57243,0.000155761,0.000155761,0.000155761
47,4147.3,0.94881,1.52073,1.05952,0.54052,0.17623,0.23192,0.10373,1.96936,3.08653,1.5649,0.000127467,0.000127467,0.000127467
